"","id","type","price","netHabitableSurface","landSurface","bedrooms","gemeente","postalCode","street","number","lat","lon","url","category"
"251",1866325,"HOUSE",269000,140,203.42423337727,3,"Antwerpen","2170","Melgesdreef","171",4.4528592056804,51.256226125164,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/1866325",NA
"252",2041032,"HOUSE",218000,123,220,2,"Essen","2910","Kleine veldweg","4",4.4530300144811,51.460404723132,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/2041032",NA
"253",2315450,"HOUSE",575000,351,441,4,"Mechelen","2800","Koning albertstraat","229",4.4534214215074,51.069737893252,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/2315450",NA
"254",1938346,"HOUSE",184900,130,110.11203936301,4,"Antwerpen","2100","Tweemontstraat","73",4.4535224548317,51.234145188193,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/1938346",NA
"255",2082969,"HOUSE",349000,138,145,3,"Kontich","2550","Konijnenveld","50",4.4538217477944,51.137353377102,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/2082969",NA
"256",1754789,"HOUSE",419000,180,125,3,"Antwerpen","2170","Du chastellei","5",4.4540306685485,51.249680327072,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/1754789",NA
"257",6079039,"HOUSE",331757.85,NA,471,3,"Essen","2910","Marc baetensstraat","20",4.4540925712584,51.4592472634,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/6079039",NA
"258",2084700,"HOUSE",517500,240,756,4,"Kontich","2550","Nachtegaalstraat","60",4.4541150155032,51.130452798636,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/2084700",NA
"259",2081663,"HOUSE",360000,174.68,234.18568751053,3,"Kontich","2550","Hoogbunderlaan","43",4.4542429168054,51.132377485523,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/2081663",NA
"260",2098324,"HOUSE",398000,164,258,3,"Mortsel","2640","Krijgsbaan","138",4.4542520020506,51.175010032432,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/2098324",NA
"261",2101887,"HOUSE",395000,205,585,4,"Mortsel","2640","Prins leopoldlei","39",4.4544270687466,51.168889548223,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/2101887",NA
"262",1839927,"HOUSE",275000,111,65,3,"Antwerpen","2100","Lakborslei","367",4.4545032429484,51.229043184798,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/1839927",NA
"263",1779239,"HOUSE",719000,220,129.2647916365,6,"Antwerpen","2140","Gitschotellei","377",4.4545849482512,51.197986560336,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/1779239",NA
"264",1840040,"HOUSE",195000,114,95.361854180461,1,"Antwerpen","2100","Lakborslei","389",4.4546837026515,51.229642222422,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/1840040",NA
"265",1955256,"HOUSE",299000,216,150,2,"Antwerpen","2170","Victor roosensplein","21",4.4546850707467,51.248559105314,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/1955256",NA
